"","From","FromAnno","To","ToAnno","Jaccard","Cor"
"13","hsa:2356","FPGS; folylpolyglutamate synthase (EC:6.3.2.17); K01930 folylpolyglutamate synthase [EC:6.3.2.17] (A)","hsa:506","ATP5B, ATPMB, ATPSB; ATP synthase, H+ transporting, mitochondrial F1 complex, beta polypeptide (EC:3.6.3.14); K02133 F-type H+-transporting ATPase subunit beta [EC:3.6.3.14] (A)","0.9","0.22"
"14","hsa:2356","FPGS; folylpolyglutamate synthase (EC:6.3.2.17); K01930 folylpolyglutamate synthase [EC:6.3.2.17] (A)","hsa:498","ATP5A1, ATP5A, ATP5AL2, ATPM, MC5DN4, MOM2, OMR, ORM, hATP1; ATP synthase, H+ transporting, mitochondrial F1 complex, alpha subunit 1, cardiac muscle; K02132 F-type H+-transporting ATPase subunit alpha [EC:3.6.3.14] (A)","0.9","0.23"
"15","hsa:10051","SMC4, CAP-C, CAPC, SMC-4, SMC4L1, hCAP-C; structural maintenance of chromosomes 4; K06675 structural maintenance of chromosome 4 (A)","hsa:498","ATP5A1, ATP5A, ATP5AL2, ATPM, MC5DN4, MOM2, OMR, ORM, hATP1; ATP synthase, H+ transporting, mitochondrial F1 complex, alpha subunit 1, cardiac muscle; K02132 F-type H+-transporting ATPase subunit alpha [EC:3.6.3.14] (A)","0.81","0.19"
"16","hsa:10051","SMC4, CAP-C, CAPC, SMC-4, SMC4L1, hCAP-C; structural maintenance of chromosomes 4; K06675 structural maintenance of chromosome 4 (A)","hsa:506","ATP5B, ATPMB, ATPSB; ATP synthase, H+ transporting, mitochondrial F1 complex, beta polypeptide (EC:3.6.3.14); K02133 F-type H+-transporting ATPase subunit beta [EC:3.6.3.14] (A)","0.81","0.12"
"17","hsa:23112","TNRC6B; trinucleotide repeat containing 6B (A)","hsa:522","ATP5J, ATP5, ATP5A, ATPM, CF6, F6; ATP synthase, H+ transporting, mitochondrial Fo complex, subunit F6 (EC:3.6.1.14); K02131 F-type H+-transporting ATPase subunit 6 [EC:3.6.3.14] (A)","0.81","0.89"
"18","hsa:79002","C19orf43, fSAP18; chromosome 19 open reading frame 43 (A)","hsa:9551","ATP5J2, ATP5JL; ATP synthase, H+ transporting, mitochondrial Fo complex, subunit F2 (EC:3.6.1.14); K02130 F-type H+-transporting ATPase subunit f [EC:3.6.3.14] (A)","0.66","0.79"
"19","hsa:26284","ERAL1, ERA, ERAL1A, H-ERA, HERA-A, HERA-B; Era-like 12S mitochondrial rRNA chaperone 1 (A)","hsa:506","ATP5B, ATPMB, ATPSB; ATP synthase, H+ transporting, mitochondrial F1 complex, beta polypeptide (EC:3.6.3.14); K02133 F-type H+-transporting ATPase subunit beta [EC:3.6.3.14] (A)","0.95","0.33"
"20","hsa:26284","ERAL1, ERA, ERAL1A, H-ERA, HERA-A, HERA-B; Era-like 12S mitochondrial rRNA chaperone 1 (A)","hsa:498","ATP5A1, ATP5A, ATP5AL2, ATPM, MC5DN4, MOM2, OMR, ORM, hATP1; ATP synthase, H+ transporting, mitochondrial F1 complex, alpha subunit 1, cardiac muscle; K02132 F-type H+-transporting ATPase subunit alpha [EC:3.6.3.14] (A)","0.95","0.22"
"21","hsa:1670","DEFA5, DEF5, HD-5; defensin, alpha 5, Paneth cell-specific; K05230 defensin, alpha (A)","hsa:4509","ATP8, ATPase8, MTATP8, MT-ATP8; ATP synthase F0 subunit 8; K02125 F-type H+-transporting ATPase subunit 8 [EC:3.6.3.14] (A)","0.48","0.67"
"22","hsa:3301","DNAJA1, DJ-2, DjA1, HDJ2, HSDJ, HSJ2, HSPF4, NEDD7, hDJ-2; DnaJ (Hsp40) homolog, subfamily A, member 1; K09502 DnaJ homolog subfamily A member 1 (A)","hsa:506","ATP5B, ATPMB, ATPSB; ATP synthase, H+ transporting, mitochondrial F1 complex, beta polypeptide (EC:3.6.3.14); K02133 F-type H+-transporting ATPase subunit beta [EC:3.6.3.14] (A)","0.95","0.08"
"23","hsa:3301","DNAJA1, DJ-2, DjA1, HDJ2, HSDJ, HSJ2, HSPF4, NEDD7, hDJ-2; DnaJ (Hsp40) homolog, subfamily A, member 1; K09502 DnaJ homolog subfamily A member 1 (A)","hsa:498","ATP5A1, ATP5A, ATP5AL2, ATPM, MC5DN4, MOM2, OMR, ORM, hATP1; ATP synthase, H+ transporting, mitochondrial F1 complex, alpha subunit 1, cardiac muscle; K02132 F-type H+-transporting ATPase subunit alpha [EC:3.6.3.14] (A)","0.95","0.02"
"24","hsa:128","ADH5, ADH-3, ADHX, FALDH, FDH, GSH-FDH, GSNOR; alcohol dehydrogenase 5 (class III), chi polypeptide (EC:1.1.1.1 1.1.1.284); K00121 S-(hydroxymethyl)glutathione dehydrogenase / alcohol dehydrogenase [EC:1.1.1.284 1.1.1.1] (A)","hsa:506","ATP5B, ATPMB, ATPSB; ATP synthase, H+ transporting, mitochondrial F1 complex, beta polypeptide (EC:3.6.3.14); K02133 F-type H+-transporting ATPase subunit beta [EC:3.6.3.14] (A)","0.85","0.19"
"25","hsa:128","ADH5, ADH-3, ADHX, FALDH, FDH, GSH-FDH, GSNOR; alcohol dehydrogenase 5 (class III), chi polypeptide (EC:1.1.1.1 1.1.1.284); K00121 S-(hydroxymethyl)glutathione dehydrogenase / alcohol dehydrogenase [EC:1.1.1.284 1.1.1.1] (A)","hsa:498","ATP5A1, ATP5A, ATP5AL2, ATPM, MC5DN4, MOM2, OMR, ORM, hATP1; ATP synthase, H+ transporting, mitochondrial F1 complex, alpha subunit 1, cardiac muscle; K02132 F-type H+-transporting ATPase subunit alpha [EC:3.6.3.14] (A)","0.85","0.2"
"26","hsa:143098","MPP7; membrane protein, palmitoylated 7 (MAGUK p55 subfamily member 7) (A)","hsa:509","ATP5C1, ATP5C, ATP5CL1; ATP synthase, H+ transporting, mitochondrial F1 complex, gamma polypeptide 1 (EC:3.6.1.14); K02136 F-type H+-transporting ATPase subunit gamma [EC:3.6.3.14] (A)","0.93","0.73"
"27","hsa:143098","MPP7; membrane protein, palmitoylated 7 (MAGUK p55 subfamily member 7) (A)","hsa:506","ATP5B, ATPMB, ATPSB; ATP synthase, H+ transporting, mitochondrial F1 complex, beta polypeptide (EC:3.6.3.14); K02133 F-type H+-transporting ATPase subunit beta [EC:3.6.3.14] (A)","0.89","0.2"
"28","hsa:143098","MPP7; membrane protein, palmitoylated 7 (MAGUK p55 subfamily member 7) (A)","hsa:498","ATP5A1, ATP5A, ATP5AL2, ATPM, MC5DN4, MOM2, OMR, ORM, hATP1; ATP synthase, H+ transporting, mitochondrial F1 complex, alpha subunit 1, cardiac muscle; K02132 F-type H+-transporting ATPase subunit alpha [EC:3.6.3.14] (A)","0.88","0.15"
"29","hsa:10465","PPIH, CYP-20, CYPH, SnuCyp-20, USA-CYP; peptidylprolyl isomerase H (cyclophilin H) (EC:5.2.1.8); K09567 peptidyl-prolyl isomerase H (cyclophilin H) [EC:5.2.1.8] (A)","hsa:498","ATP5A1, ATP5A, ATP5AL2, ATPM, MC5DN4, MOM2, OMR, ORM, hATP1; ATP synthase, H+ transporting, mitochondrial F1 complex, alpha subunit 1, cardiac muscle; K02132 F-type H+-transporting ATPase subunit alpha [EC:3.6.3.14] (A)","0.86","0.23"
"30","hsa:10465","PPIH, CYP-20, CYPH, SnuCyp-20, USA-CYP; peptidylprolyl isomerase H (cyclophilin H) (EC:5.2.1.8); K09567 peptidyl-prolyl isomerase H (cyclophilin H) [EC:5.2.1.8] (A)","hsa:506","ATP5B, ATPMB, ATPSB; ATP synthase, H+ transporting, mitochondrial F1 complex, beta polypeptide (EC:3.6.3.14); K02133 F-type H+-transporting ATPase subunit beta [EC:3.6.3.14] (A)","0.86","0.18"
"31","hsa:439","ASNA1, ARSA-I, ARSA1, ASNA-I, GET3, TRC40, hASNA-I; arsA arsenite transporter, ATP-binding, homolog 1 (bacterial) (EC:3.6.3.16); K01551 arsenite-transporting ATPase [EC:3.6.3.16] (A)","hsa:506","ATP5B, ATPMB, ATPSB; ATP synthase, H+ transporting, mitochondrial F1 complex, beta polypeptide (EC:3.6.3.14); K02133 F-type H+-transporting ATPase subunit beta [EC:3.6.3.14] (A)","0.73","0.13"
"32","hsa:439","ASNA1, ARSA-I, ARSA1, ASNA-I, GET3, TRC40, hASNA-I; arsA arsenite transporter, ATP-binding, homolog 1 (bacterial) (EC:3.6.3.16); K01551 arsenite-transporting ATPase [EC:3.6.3.16] (A)","hsa:498","ATP5A1, ATP5A, ATP5AL2, ATPM, MC5DN4, MOM2, OMR, ORM, hATP1; ATP synthase, H+ transporting, mitochondrial F1 complex, alpha subunit 1, cardiac muscle; K02132 F-type H+-transporting ATPase subunit alpha [EC:3.6.3.14] (A)","0.73","0.11"
"33","hsa:22948","CCT5, CCT-epsilon, CCTE, TCP-1-epsilon; chaperonin containing TCP1, subunit 5 (epsilon); K09497 T-complex protein 1 subunit epsilon (A)","hsa:498","ATP5A1, ATP5A, ATP5AL2, ATPM, MC5DN4, MOM2, OMR, ORM, hATP1; ATP synthase, H+ transporting, mitochondrial F1 complex, alpha subunit 1, cardiac muscle; K02132 F-type H+-transporting ATPase subunit alpha [EC:3.6.3.14] (A)","0.98","0.21"
"34","hsa:22948","CCT5, CCT-epsilon, CCTE, TCP-1-epsilon; chaperonin containing TCP1, subunit 5 (epsilon); K09497 T-complex protein 1 subunit epsilon (A)","hsa:506","ATP5B, ATPMB, ATPSB; ATP synthase, H+ transporting, mitochondrial F1 complex, beta polypeptide (EC:3.6.3.14); K02133 F-type H+-transporting ATPase subunit beta [EC:3.6.3.14] (A)","0.98","0.07"
"35","hsa:29789","OLA1, DOC45, GBP45, GTBP9, GTPBP9; Obg-like ATPase 1; K06942 (A)","hsa:509","ATP5C1, ATP5C, ATP5CL1; ATP synthase, H+ transporting, mitochondrial F1 complex, gamma polypeptide 1 (EC:3.6.1.14); K02136 F-type H+-transporting ATPase subunit gamma [EC:3.6.3.14] (A)","0.94","0.75"
"36","hsa:29789","OLA1, DOC45, GBP45, GTBP9, GTPBP9; Obg-like ATPase 1; K06942 (A)","hsa:506","ATP5B, ATPMB, ATPSB; ATP synthase, H+ transporting, mitochondrial F1 complex, beta polypeptide (EC:3.6.3.14); K02133 F-type H+-transporting ATPase subunit beta [EC:3.6.3.14] (A)","0.9","0.16"
"37","hsa:29789","OLA1, DOC45, GBP45, GTBP9, GTPBP9; Obg-like ATPase 1; K06942 (A)","hsa:498","ATP5A1, ATP5A, ATP5AL2, ATPM, MC5DN4, MOM2, OMR, ORM, hATP1; ATP synthase, H+ transporting, mitochondrial F1 complex, alpha subunit 1, cardiac muscle; K02132 F-type H+-transporting ATPase subunit alpha [EC:3.6.3.14] (A)","0.9","0.17"
"38","hsa:389643","NUGGC, C8orf80, SLIP-GC; nuclear GTPase, germinal center associated (A)","hsa:515","ATP5F1, PIG47; ATP synthase, H+ transporting, mitochondrial Fo complex, subunit B1; K02127 F-type H+-transporting ATPase subunit b [EC:3.6.3.14] (A)","0.41","0.51"
"39","hsa:388698","FLG2, IFPS; filaggrin family member 2; K10384 filaggrin (A)","hsa:515","ATP5F1, PIG47; ATP synthase, H+ transporting, mitochondrial Fo complex, subunit B1; K02127 F-type H+-transporting ATPase subunit b [EC:3.6.3.14] (A)","0.62","0.71"
"40","hsa:1112","FOXN3, C14orf116, CHES1, PRO1635; forkhead box N3; K09407 forkhead box protein N (A)","hsa:515","ATP5F1, PIG47; ATP synthase, H+ transporting, mitochondrial Fo complex, subunit B1; K02127 F-type H+-transporting ATPase subunit b [EC:3.6.3.14] (A)","0.85","0.9"
"41","hsa:2300","FOXL1, FKH6, FKHL11, FREAC7; forkhead box L1; K09405 forkhead box protein L (A)","hsa:515","ATP5F1, PIG47; ATP synthase, H+ transporting, mitochondrial Fo complex, subunit B1; K02127 F-type H+-transporting ATPase subunit b [EC:3.6.3.14] (A)","0.85","0.9"
"42","hsa:10060","ABCC9, ABC37, ATFB12, CANTU, CMD1O, SUR2; ATP-binding cassette, sub-family C (CFTR/MRP), member 9; K05033 ATP-binding cassette subfamily C (CFTR/MRP) member 9 (A)","hsa:506","ATP5B, ATPMB, ATPSB; ATP synthase, H+ transporting, mitochondrial F1 complex, beta polypeptide (EC:3.6.3.14); K02133 F-type H+-transporting ATPase subunit beta [EC:3.6.3.14] (A)","0.99","0.57"
"43","hsa:10060","ABCC9, ABC37, ATFB12, CANTU, CMD1O, SUR2; ATP-binding cassette, sub-family C (CFTR/MRP), member 9; K05033 ATP-binding cassette subfamily C (CFTR/MRP) member 9 (A)","hsa:498","ATP5A1, ATP5A, ATP5AL2, ATPM, MC5DN4, MOM2, OMR, ORM, hATP1; ATP synthase, H+ transporting, mitochondrial F1 complex, alpha subunit 1, cardiac muscle; K02132 F-type H+-transporting ATPase subunit alpha [EC:3.6.3.14] (A)","0.99","0.52"
"44","hsa:1503","CTPS1, CTPS; CTP synthase 1 (EC:6.3.4.2); K01937 CTP synthase [EC:6.3.4.2] (A)","hsa:506","ATP5B, ATPMB, ATPSB; ATP synthase, H+ transporting, mitochondrial F1 complex, beta polypeptide (EC:3.6.3.14); K02133 F-type H+-transporting ATPase subunit beta [EC:3.6.3.14] (A)","0.97","0.39"
"45","hsa:1503","CTPS1, CTPS; CTP synthase 1 (EC:6.3.4.2); K01937 CTP synthase [EC:6.3.4.2] (A)","hsa:498","ATP5A1, ATP5A, ATP5AL2, ATPM, MC5DN4, MOM2, OMR, ORM, hATP1; ATP synthase, H+ transporting, mitochondrial F1 complex, alpha subunit 1, cardiac muscle; K02132 F-type H+-transporting ATPase subunit alpha [EC:3.6.3.14] (A)","0.97","0.4"
"46","hsa:3912","LAMB1, CLM, LIS5; laminin, beta 1; K05636 laminin, beta 1 (A)","hsa:506","ATP5B, ATPMB, ATPSB; ATP synthase, H+ transporting, mitochondrial F1 complex, beta polypeptide (EC:3.6.3.14); K02133 F-type H+-transporting ATPase subunit beta [EC:3.6.3.14] (A)","0.63","0.12"
"47","hsa:3912","LAMB1, CLM, LIS5; laminin, beta 1; K05636 laminin, beta 1 (A)","hsa:498","ATP5A1, ATP5A, ATP5AL2, ATPM, MC5DN4, MOM2, OMR, ORM, hATP1; ATP synthase, H+ transporting, mitochondrial F1 complex, alpha subunit 1, cardiac muscle; K02132 F-type H+-transporting ATPase subunit alpha [EC:3.6.3.14] (A)","0.63","0.11"
"48","hsa:287","ANK2, ANK-2, LQT4, brank-2; ankyrin 2, neuronal; K10380 ankyrin (A)","hsa:509","ATP5C1, ATP5C, ATP5CL1; ATP synthase, H+ transporting, mitochondrial F1 complex, gamma polypeptide 1 (EC:3.6.1.14); K02136 F-type H+-transporting ATPase subunit gamma [EC:3.6.3.14] (A)","0.66","0.3"
"49","hsa:1374","CPT1A, CPT1, CPT1-L, L-CPT1; carnitine palmitoyltransferase 1A (liver) (EC:2.3.1.21); K08765 carnitine O-palmitoyltransferase 1 [EC:2.3.1.21] (A)","hsa:515","ATP5F1, PIG47; ATP synthase, H+ transporting, mitochondrial Fo complex, subunit B1; K02127 F-type H+-transporting ATPase subunit b [EC:3.6.3.14] (A)","0.77","0.85"
"50","hsa:2306","FOXD2, FKHL17, FREAC-9, FREAC9; forkhead box D2; K09397 forkhead box protein D (A)","hsa:515","ATP5F1, PIG47; ATP synthase, H+ transporting, mitochondrial Fo complex, subunit B1; K02127 F-type H+-transporting ATPase subunit b [EC:3.6.3.14] (A)","0.86","0.91"
"51","hsa:2953","GSTT2, GSTT2B; glutathione S-transferase theta 2 (EC:2.5.1.18); K00799 glutathione S-transferase [EC:2.5.1.18] (A)","hsa:513","ATP5D; ATP synthase, H+ transporting, mitochondrial F1 complex, delta subunit (EC:3.6.1.14); K02134 F-type H+-transporting ATPase subunit delta [EC:3.6.3.14] (A)","0.6","0.5"
"52","hsa:2953","GSTT2, GSTT2B; glutathione S-transferase theta 2 (EC:2.5.1.18); K00799 glutathione S-transferase [EC:2.5.1.18] (A)","hsa:539","ATP5O, ATPO, OSCP; ATP synthase, H+ transporting, mitochondrial F1 complex, O subunit (EC:3.6.3.14); K02137 F-type H+-transporting ATPase oligomycin sensitivity conferral protein [EC:3.6.3.14] (A)","0.56","0.41"
"53","hsa:120526","DNAJC24, DPH4, JJJ3, ZCSL3; DnaJ (Hsp40) homolog, subfamily C, member 24; K17867 diphthamide biosynthesis protein 4 (A)","hsa:506","ATP5B, ATPMB, ATPSB; ATP synthase, H+ transporting, mitochondrial F1 complex, beta polypeptide (EC:3.6.3.14); K02133 F-type H+-transporting ATPase subunit beta [EC:3.6.3.14] (A)","0.95","0.07"
"54","hsa:26164","MTG2, GTPBP5, ObgH1, dJ1005F21.2; mitochondrial ribosome-associated GTPase 2; K03979 GTP-binding protein (A)","hsa:506","ATP5B, ATPMB, ATPSB; ATP synthase, H+ transporting, mitochondrial F1 complex, beta polypeptide (EC:3.6.3.14); K02133 F-type H+-transporting ATPase subunit beta [EC:3.6.3.14] (A)","0.99","0.53"
"55","hsa:26164","MTG2, GTPBP5, ObgH1, dJ1005F21.2; mitochondrial ribosome-associated GTPase 2; K03979 GTP-binding protein (A)","hsa:498","ATP5A1, ATP5A, ATP5AL2, ATPM, MC5DN4, MOM2, OMR, ORM, hATP1; ATP synthase, H+ transporting, mitochondrial F1 complex, alpha subunit 1, cardiac muscle; K02132 F-type H+-transporting ATPase subunit alpha [EC:3.6.3.14] (A)","0.99","0.39"
"56","hsa:4891","SLC11A2, DCT1, DMT1, NRAMP2; solute carrier family 11 (proton-coupled divalent metal ion transporter), member 2; K12347 natural resistance-associated macrophage protein (A)","hsa:539","ATP5O, ATPO, OSCP; ATP synthase, H+ transporting, mitochondrial F1 complex, O subunit (EC:3.6.3.14); K02137 F-type H+-transporting ATPase oligomycin sensitivity conferral protein [EC:3.6.3.14] (A)","0.56","0.27"
"57","hsa:1060","CENPC, CENP-C, CENPC1, MIF2, hcp-4; centromere protein C; K11497 centromere protein C (A)","hsa:515","ATP5F1, PIG47; ATP synthase, H+ transporting, mitochondrial Fo complex, subunit B1; K02127 F-type H+-transporting ATPase subunit b [EC:3.6.3.14] (A)","0.63","0.73"
"58","hsa:4189","DNAJB9, ERdj4, MDG-1, MDG1, MST049, MSTP049; DnaJ (Hsp40) homolog, subfamily B, member 9; K09515 DnaJ homolog subfamily B member 9 (A)","hsa:506","ATP5B, ATPMB, ATPSB; ATP synthase, H+ transporting, mitochondrial F1 complex, beta polypeptide (EC:3.6.3.14); K02133 F-type H+-transporting ATPase subunit beta [EC:3.6.3.14] (A)","0.95","0.07"
"59","hsa:29922","NME7, MN23H7, NDK_7, NDK7, nm23-H7; NME/NM23 family member 7 (EC:2.7.4.6); K00940 nucleoside-diphosphate kinase [EC:2.7.4.6] (A)","hsa:498","ATP5A1, ATP5A, ATP5AL2, ATPM, MC5DN4, MOM2, OMR, ORM, hATP1; ATP synthase, H+ transporting, mitochondrial F1 complex, alpha subunit 1, cardiac muscle; K02132 F-type H+-transporting ATPase subunit alpha [EC:3.6.3.14] (A)","0.91","0.3"
"60","hsa:29922","NME7, MN23H7, NDK_7, NDK7, nm23-H7; NME/NM23 family member 7 (EC:2.7.4.6); K00940 nucleoside-diphosphate kinase [EC:2.7.4.6] (A)","hsa:506","ATP5B, ATPMB, ATPSB; ATP synthase, H+ transporting, mitochondrial F1 complex, beta polypeptide (EC:3.6.3.14); K02133 F-type H+-transporting ATPase subunit beta [EC:3.6.3.14] (A)","0.91","0.2"
"61","hsa:114134","SLC2A13, HMIT; solute carrier family 2 (facilitated glucose transporter), member 13; K08150 MFS transporter, SP family, solute carrier family 2 (myo-inositol transporter), member 13 (A)","hsa:498","ATP5A1, ATP5A, ATP5AL2, ATPM, MC5DN4, MOM2, OMR, ORM, hATP1; ATP synthase, H+ transporting, mitochondrial F1 complex, alpha subunit 1, cardiac muscle; K02132 F-type H+-transporting ATPase subunit alpha [EC:3.6.3.14] (A)","0.67","0.13"
"62","hsa:126133","ALDH16A1; aldehyde dehydrogenase 16 family, member A1 (A)","hsa:498","ATP5A1, ATP5A, ATP5AL2, ATPM, MC5DN4, MOM2, OMR, ORM, hATP1; ATP synthase, H+ transporting, mitochondrial F1 complex, alpha subunit 1, cardiac muscle; K02132 F-type H+-transporting ATPase subunit alpha [EC:3.6.3.14] (A)","0.86","0.23"
"63","hsa:126133","ALDH16A1; aldehyde dehydrogenase 16 family, member A1 (A)","hsa:506","ATP5B, ATPMB, ATPSB; ATP synthase, H+ transporting, mitochondrial F1 complex, beta polypeptide (EC:3.6.3.14); K02133 F-type H+-transporting ATPase subunit beta [EC:3.6.3.14] (A)","0.86","0.18"
"64","hsa:4255","MGMT; O-6-methylguanine-DNA methyltransferase (EC:2.1.1.63); K00567 methylated-DNA-[protein]-cysteine S-methyltransferase [EC:2.1.1.63] (A)","hsa:498","ATP5A1, ATP5A, ATP5AL2, ATPM, MC5DN4, MOM2, OMR, ORM, hATP1; ATP synthase, H+ transporting, mitochondrial F1 complex, alpha subunit 1, cardiac muscle; K02132 F-type H+-transporting ATPase subunit alpha [EC:3.6.3.14] (A)","0.8","0.14"
"65","hsa:4255","MGMT; O-6-methylguanine-DNA methyltransferase (EC:2.1.1.63); K00567 methylated-DNA-[protein]-cysteine S-methyltransferase [EC:2.1.1.63] (A)","hsa:506","ATP5B, ATPMB, ATPSB; ATP synthase, H+ transporting, mitochondrial F1 complex, beta polypeptide (EC:3.6.3.14); K02133 F-type H+-transporting ATPase subunit beta [EC:3.6.3.14] (A)","0.8","0.11"
"66","hsa:1728","NQO1, DHQU, DIA4, DTD, NMOR1, NMORI, QR1; NAD(P)H dehydrogenase, quinone 1 (EC:1.6.5.2); K00355 NAD(P)H dehydrogenase (quinone) [EC:1.6.5.2] (A)","hsa:4508","ATP6, ATPase6, MTATP6, MT-ATP6, RP; ATP synthase F0 subunit 6; K02126 F-type H+-transporting ATPase subunit a [EC:3.6.3.14] (A)","0.41","0.29"
"67","hsa:1728","NQO1, DHQU, DIA4, DTD, NMOR1, NMORI, QR1; NAD(P)H dehydrogenase, quinone 1 (EC:1.6.5.2); K00355 NAD(P)H dehydrogenase (quinone) [EC:1.6.5.2] (A)","hsa:509","ATP5C1, ATP5C, ATP5CL1; ATP synthase, H+ transporting, mitochondrial F1 complex, gamma polypeptide 1 (EC:3.6.1.14); K02136 F-type H+-transporting ATPase subunit gamma [EC:3.6.3.14] (A)","0.37","0.16"
"68","hsa:3170","FOXA2, HNF3B, TCF3B; forkhead box A2; K08035 forkhead box protein A2, hepatocyte nuclear factor 3-beta (A)","hsa:515","ATP5F1, PIG47; ATP synthase, H+ transporting, mitochondrial Fo complex, subunit B1; K02127 F-type H+-transporting ATPase subunit b [EC:3.6.3.14] (A)","0.85","0.91"
